player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Visanthe Shiancoe,1406,TE,NYG,16,4.8,0,92.3,,0,0,0,0.0,0,4,21,1,79.4,20.9,58.1,74.2,50.4,70.8,119,1,16,17.9,30,168,2,12,79.2,133,19.0,32,60.6,13,0,4.2,7,81,35,2.9,6.8,0.61
Brandon Jacobs,2327,HB,NYG,15,-1.1,2,84.6,,0,0,0,8.3,1,3,21,0,60.2,43.0,70.9,51.0,68.7,0.0,0,0,43,30.9,30,97,2,11,67.0,65,2.1,2,114.4,13,0,4.1,4,149,168,15.3,13.5,2.29
Maurice Hicks,1253,HB,SF,13,-0.3,4,100.0,,0,0,0,0.0,0,6,28,0,80.0,80.6,64.1,80.4,90.4,1.5,1,0,33,24.6,16,65,0,13,70.8,46,3.1,2,136.2,13,1,0.0,0,137,141,10.8,10.5,2.98
Robert Ferguson,811,WR,GB,4,18.4,0,38.5,,0,0,0,0.0,0,2,12,0,73.4,68.0,50.4,,50.2,0.0,0,0,10,0.0,0,109,0,5,97.2,106,6.4,7,72.3,13,1,93.6,102,31,-2,-0.4,6.2,0.29
Ben Hartsock,1789,TE,TEN,6,7.2,2,46.2,,0,0,0,33.3,3,4,31,0,27.9,68.8,65.2,61.6,51.7,86.0,86,0,23,28.0,28,100,1,6,72.0,72,12.0,12,62.3,13,0,2.0,2,68,52,8.7,11.3,0.94
Johnnie Morant,1855,WR,OAK,9,9.9,1,53.8,,0,0,0,12.5,1,3,23,2,54.5,11.2,48.1,,48.5,0.0,0,2,18,0.0,0,137,1,7,94.9,130,10.2,14,29.8,13,0,89.8,123,70,22,3.1,10.0,0.54
Jeff Dugan,1936,TE,MIN,7,4.2,2,66.7,,0,0,0,11.1,1,5,18,0,54.5,70.1,62.1,68.6,60.8,9.5,10,1,10,26.7,28,105,0,8,69.5,73,2.9,3,64.6,12,1,2.9,3,40,30,3.8,5.0,0.55
Maurice Stovall,3035,WR,TB,7,9.4,1,58.3,,0,0,1,12.5,1,5,30,0,54.5,71.5,64.5,,59.9,0.0,0,1,27,0.0,0,93,2,7,96.8,90,19.4,18,51.4,12,0,80.6,75,102,28,4.0,14.6,1.13
Jason Avant,3054,WR,PHI,7,10.8,2,58.3,,0,0,0,0.0,0,5,24,1,76.5,18.5,56.7,69.9,55.0,1.9,2,0,18,1.9,2,107,1,7,93.5,100,69.2,74,102.1,12,1,29.0,31,68,35,5.0,9.7,0.68
Michael Robinson,3045,HB,SF,12,0.0,2,75.0,,0,0,1,0.0,0,3,28,0,77.3,81.5,52.1,81.6,70.6,0.0,0,0,12,24.7,18,73,3,9,69.9,51,2.7,2,80.9,12,0,2.7,2,47,52,5.8,5.2,0.92
Brandon Miree,1961,FB,GB,10,1.9,0,75.0,,0,0,0,18.2,2,3,12,0,38.4,70.6,48.1,87.7,42.3,0.0,0,0,20,21.3,20,94,1,9,75.5,71,0.0,0,84.4,12,0,2.1,2,57,32,3.6,6.3,0.8
Jerome Harrison,3090,HB,CLV,10,2.6,1,75.0,,0,0,0,10.0,1,1,8,0,41.1,28.7,55.6,76.6,51.8,0.6,1,0,12,52.7,87,165,0,9,44.2,73,2.4,4,80.9,12,0,7.9,13,47,58,6.4,5.2,0.64
Dan Kreider,749,FB,PIT,16,1.5,0,66.7,,0,0,0,20.0,2,2,25,0,35.3,70.8,72.3,53.0,42.2,1.4,2,0,15,21.9,32,146,0,8,76.0,111,0.7,1,79.2,12,0,0.0,0,62,51,6.4,7.8,0.56
Mike Anderson,693,HB,BLT,13,-1.4,2,75.0,,0,0,0,10.0,1,2,3,0,58.5,41.9,55.9,54.8,54.5,0.9,1,0,13,40.9,47,115,0,9,56.5,65,5.2,6,83.3,12,0,4.3,5,54,70,7.8,6.0,0.83
Michael Bennett,797,HB,KC,11,-0.8,4,75.0,,0,0,0,0.0,0,1,16,0,78.0,81.6,67.7,80.8,69.0,0.0,0,0,14,8.3,5,60,0,9,90.0,54,6.7,4,91.3,12,0,3.3,2,77,85,9.4,8.6,1.43
Brad Smith,3048,WR,NYJ,15,3.8,1,75.0,,0,0,0,0.0,0,5,22,0,78.0,78.1,64.5,66.3,66.4,6.5,6,1,19,1.1,1,92,1,9,92.4,85,35.9,33,52.1,12,0,47.8,44,64,40,4.4,7.1,0.75
